country,has_bio,has_blog,followers,followings,commits,public_gist,public_repos,hirable
China,0,0,9,10,12,0,18,0

India,0,0,0,0,5,0,1,0

China,0,0,1,3,36,0,5,0

Poland,0,1,9,8,55,1,9,0

China,0,0,3,4,0,0,3,0

Ukraine,0,0,0,1,2,0,1,1

India,0,0,0,1,1,0,2,0

China,1,1,15,68,267,2,27,0

Poland,0,1,2,1,4,0,8,0

India,1,0,1,5,20,0,13,1

Philippines,1,1,6,10,296,0,16,1

India,0,1,0,2,18,0,2,1

India,0,0,0,0,0,0,1,0

India,1,1,26,6,316,4,10,1

Philippines,1,1,0,4,82,6,16,0

Poland,0,0,1,0,7,0,6,0

China,1,0,15,6,359,1,15,0

India,1,0,0,0,0,0,1,0

India,0,0,6,2,412,3,19,0

China,0,0,1,1,12,0,2,0

India,0,0,0,0,4,0,2,1

India,0,0,0,0,8,0,7,0

India,0,0,0,0,38,0,8,0

Ukraine,0,0,2,0,10,5,2,1

India,0,1,0,0,0,0,1,0

Philippines,1,0,1,5,23,0,2,0

Ukraine,0,0,0,0,114,3,16,0

Philippines,0,0,0,0,4,0,2,1

India,0,0,0,0,2,0,5,0

India,0,0,0,0,4,0,3,0

China,1,1,2,10,41,1,13,0

Poland,0,0,15,31,28,1,6,0

Poland,0,1,1,0,5,0,3,1

Poland,1,1,0,0,22,1,3,0

China,0,0,0,1,4,0,13,0

China,1,1,0,0,20,0,1,0

India,0,0,0,0,0,0,2,0

Philippines,0,1,0,0,0,0,1,0

India,0,1,0,0,1,0,1,1

Poland,0,0,0,0,1,0,1,0

China,1,0,16,8,122,38,10,0

China,0,0,0,0,4,0,2,0

China,1,0,6,9,13,0,5,0

India,0,0,0,0,7,0,1,0

China,1,0,0,4,7,0,2,0

China,0,1,0,0,0,0,1,0

China,0,0,2,0,55,0,12,0

Ukraine,1,0,0,0,6,0,1,0

China,0,0,5,41,11,0,99,0

China,1,0,0,0,32,0,6,0

China,1,1,3,6,101,0,11,0

India,1,0,0,0,0,0,2,0

China,0,1,0,0,0,0,1,0

China,0,0,0,0,1,0,2,0

India,0,0,8,7,257,2,32,1

India,1,1,1,1,100,0,20,1

India,0,1,0,0,0,0,1,0

Poland,0,0,0,0,3,0,1,0

India,0,1,0,0,1,0,11,1

Ukraine,0,0,1,5,0,0,1,1

India,0,0,0,0,0,0,6,0

China,0,1,0,0,0,0,1,0

India,0,0,0,0,0,0,1,0

India,1,1,2,2,54,0,2,0

China,0,0,2,3,0,0,11,0

Ukraine,0,0,0,0,381,0,2,0

India,1,1,1,1,298,0,18,0

India,1,0,1,8,117,1,37,1

China,1,1,71,0,381,0,40,0

India,0,1,6,0,101,0,20,1

Poland,0,0,49,1,512,1,19,0

Philippines,1,0,0,0,0,0,1,0

China,0,1,2,0,17,0,1,0

India,0,1,2,0,17,0,2,0

Poland,0,1,1,1,14,0,5,0

Ukraine,0,0,2,10,21,2,15,0

India,0,0,0,3,3,0,3,0

Philippines,0,0,0,0,1,0,1,0

India,0,1,0,0,0,0,1,0

India,1,0,0,0,1,0,1,0

India,0,0,0,0,1,0,1,1

India,1,0,0,0,0,0,2,0

China,0,1,0,0,1,0,1,0

China,1,0,0,0,34,0,3,0

China,1,1,0,0,0,0,1,0

Ukraine,0,1,1,1,35,1,8,0

China,1,0,0,2,6,0,33,0

Poland,1,0,2,2,15,13,5,0

China,0,0,0,4,6,0,7,1

Philippines,0,0,0,9,1,0,8,0

China,0,0,0,0,1,0,1,0

Poland,1,1,0,0,1,0,1,0

China,0,0,1,1,0,0,4,0

India,0,1,0,0,36,0,6,0

India,1,0,0,0,14,0,7,0

Philippines,0,0,1,0,8,0,7,0

China,0,0,13,78,89,2,26,0

India,1,1,0,0,0,0,3,0

India,0,0,0,0,0,0,4,1

China,1,1,14,24,52,0,15,0

India,0,0,0,1,47,0,4,1

Ukraine,1,0,1,0,259,4,17,0

India,0,0,1,18,89,0,30,1

India,0,0,0,0,0,0,1,0

China,0,0,4,13,43,0,29,0

China,1,1,0,0,0,0,4,0

Ukraine,0,0,0,0,0,0,1,0

Ukraine,0,0,0,0,7,0,11,0

China,1,0,2,3,20,0,39,1

India,1,0,0,0,0,0,1,0

India,0,1,0,1,4,0,2,1

India,1,0,1,0,0,0,2,1

Poland,0,0,0,0,68,0,7,0

India,0,1,0,0,5,0,1,0

China,0,0,0,0,3,0,1,0

China,1,1,0,0,3,0,7,0

India,0,0,8,7,54,9,33,1

India,0,1,0,1,0,2,1,0

China,0,0,17,74,529,0,24,0

India,1,1,24,0,219,0,74,1

India,0,0,0,0,77,1,7,0

Ukraine,0,0,1,0,586,0,5,1

India,1,0,0,0,0,0,1,0

Ukraine,0,0,0,2,3,0,2,0

India,0,0,0,0,0,0,1,0

Ukraine,0,0,0,0,2,0,2,0

Poland,0,0,0,0,49,0,6,0

India,0,0,0,0,1,0,1,0

India,0,0,0,0,0,0,2,1

China,0,0,5,14,64,0,7,0

India,0,0,0,0,75,0,10,0

Ukraine,0,0,0,1,36,0,3,0

India,0,1,11,15,151,0,48,1

India,0,1,0,0,2,0,9,0

China,1,1,0,0,4,0,1,0

China,0,0,6,18,85,2,19,0

China,1,0,1,5,3,0,2,0

China,1,0,1,2,6,0,2,0

China,0,0,0,1,0,0,1,0

India,0,0,1,0,3,0,1,0

India,0,1,0,0,0,0,1,0

China,0,1,3,4,78,0,14,0

India,0,0,0,0,5,0,3,0

Philippines,1,1,10,6,20,5,60,1

Poland,0,0,0,1,44,0,15,0

China,0,1,0,0,30,0,15,0

China,0,1,3,0,434,0,13,0

India,0,0,1,3,2,0,1,1

Ukraine,0,1,0,0,0,0,1,0

China,0,0,0,2,2,1,2,0

India,0,0,0,0,1,0,2,0

Ukraine,1,1,2,3,91,4,16,0

China,0,0,1,0,26,0,9,0

India,0,0,0,1,1,0,2,0

India,1,1,0,0,0,0,1,0

Ukraine,0,0,0,0,1,0,1,0

China,0,1,0,0,5,0,3,1

Poland,0,1,2,2,27,3,12,0

India,1,0,1,5,79,1,26,0

Philippines,1,0,0,0,0,0,1,0

Ukraine,0,0,0,0,2,1,1,0

Ukraine,0,0,0,0,18,0,5,0

China,0,0,0,1,30,0,8,1

China,1,0,1,0,155,0,27,0

India,0,0,2,0,0,0,1,0

India,1,0,0,0,8,0,4,0

India,0,0,0,0,6,0,14,0

Ukraine,0,0,1,1,8,0,1,0

China,0,0,182,12,472,2,201,1

India,0,0,0,4,5,0,6,0

Poland,0,0,0,0,0,0,1,0

China,0,1,0,0,0,0,1,1

China,1,0,0,0,10,0,4,0

China,1,0,5,5,283,0,24,0

India,1,1,7,129,460,1,65,0

Ukraine,0,0,7,9,285,0,27,1

Philippines,0,0,0,0,11,2,1,0

China,1,1,0,0,1,0,2,1

Poland,0,0,1,0,31,0,10,0

India,0,1,2,0,0,0,21,1

China,1,0,1,3,161,0,10,0

India,1,0,0,0,18,0,15,0

India,0,0,2,0,0,0,1,0

India,0,0,0,0,4,0,3,0

India,0,0,1,4,7,0,2,0

Ukraine,0,0,0,0,1,0,2,0

China,0,1,0,1,4,0,6,0

China,0,1,0,0,2,0,1,1

China,0,1,2,0,2,0,8,0

India,1,0,0,0,2,0,3,1

India,0,0,4,17,64,4,40,1

India,1,1,0,0,104,1,12,1

Ukraine,0,0,0,2,21,0,6,0

China,0,0,0,0,0,0,3,0

Poland,1,1,1,1,41,0,11,0

India,0,0,1,8,1,0,11,0

Poland,1,0,0,3,122,4,14,1

China,1,0,0,0,2,0,2,0

Ukraine,0,1,5,9,162,0,12,0

China,1,1,0,0,0,0,2,0

India,1,1,142,189,517,4,82,1

India,0,0,0,0,12,0,2,0

Ukraine,0,0,0,0,39,3,20,0

Ukraine,1,1,1,2,289,2,27,1

China,1,0,0,11,392,8,69,0

India,0,0,0,0,24,0,9,0

China,0,0,0,1,2,0,11,0

Poland,0,1,0,0,2,0,1,1

India,0,1,7,2,69,0,21,0

India,0,0,0,0,2,0,1,0

Ukraine,0,0,0,0,71,0,3,0

Philippines,0,0,1,0,10,0,10,0

India,1,1,0,0,56,0,11,1

India,0,0,4,6,26,2,21,1

Ukraine,0,0,4,0,178,0,8,1

India,0,0,1,0,2,0,1,1

India,1,1,0,0,0,0,1,0

Poland,1,0,0,0,9,0,2,1

Ukraine,0,0,0,0,53,0,6,1

China,0,0,0,0,4,0,4,0

China,0,0,0,0,3,0,1,0

India,1,0,1,0,33,0,6,0

Ukraine,0,0,0,1,26,2,6,0
